ThresholdType,CueType,T,N,K,P,Beta,Mu,Sigma,s,l,DOL,TaskSwitches,Loading,TimetoEq
Random Choice,Task Completion,4,519,0.00103421721032541,0.798860170938783,3.43777316951372,0.29480967022538,0.433186941670117,0.505214020386602,0.0930492110202584,0.00245635517717704,408765,-820102.906765108,1
Response Threshold,Task Demand,8,157,0.00408606521910698,0.819606455297192,9.36521259637186,0.78326981517175,0.133735754420432,NaN,NaN,0.0913028326680498,336384,-25509.6388670163,905
Satisfaction Threshold,Task Demand,8,157,0.00408606521910698,0.819606455297192,9.36521259637186,0.78326981517175,0.133735754420432,NaN,NaN,0.118325243928146,208277,-24808.6388670163,991
Composite Threshold,Task Demand,8,157,0.00408606521910698,0.819606455297192,9.36521259637186,0.78326981517175,0.133735754420432,NaN,NaN,0.197114453983261,236007,-24174.6388670163,401
Random Choice,Task Demand,8,157,0.00408606521910698,0.819606455297192,9.36521259637186,0.78326981517175,0.133735754420432,0.0900273764567784,0.21891454845628,0.00615649384576675,100381,-740.6388670163,4911
Response Threshold,Task Completion,8,157,0.00408606521910698,0.819606455297192,9.36521259637186,0.78326981517175,0.133735754420432,NaN,NaN,0.0546283482530776,370888,-4152.6388670163,1444
Satisfaction Threshold,Task Completion,8,157,0.00408606521910698,0.819606455297192,9.36521259637186,0.78326981517175,0.133735754420432,NaN,NaN,0.0468479827437784,202392,-5662.6388670163,1050
Composite Threshold,Task Completion,8,157,0.00408606521910698,0.819606455297192,9.36521259637186,0.78326981517175,0.133735754420432,NaN,NaN,0.102268391605226,266829,-3260.6388670163,761
Random Choice,Task Completion,8,157,0.00408606521910698,0.819606455297192,9.36521259637186,0.78326981517175,0.133735754420432,0.392306866277079,0.960956974947824,0.00082221076986164,437423,-2906.6388670163,4924
Response Threshold,Task Demand,1,727,0.00112584151862067,0.578051252298502,8.13094486216359,0.657963730227244,0.0836545692532055,NaN,NaN,Inf,2616055,-1611590.19168146,1
Satisfaction Threshold,Task Demand,1,727,0.00112584151862067,0.578051252298502,8.13094486216359,0.657963730227244,0.0836545692532055,NaN,NaN,Inf,325953,-624830.191681457,2295
Composite Threshold,Task Demand,1,727,0.00112584151862067,0.578051252298502,8.13094486216359,0.657963730227244,0.0836545692532055,NaN,NaN,Inf,595811,-568552.191681457,3598
Random Choice,Task Demand,1,727,0.00112584151862067,0.578051252298502,8.13094486216359,0.657963730227244,0.0836545692532055,0.166475135168351,0.511668436497862,Inf,912973,-2982970.19168146,1
Response Threshold,Task Completion,1,727,0.00112584151862067,0.578051252298502,8.13094486216359,0.657963730227244,0.0836545692532055,NaN,NaN,Inf,2662943,-1570682.19168146,1
Satisfaction Threshold,Task Completion,1,727,0.00112584151862067,0.578051252298502,8.13094486216359,0.657963730227244,0.0836545692532055,NaN,NaN,Inf,105431,-365265.191681457,4457
Composite Threshold,Task Completion,1,727,0.00112584151862067,0.578051252298502,8.13094486216359,0.657963730227244,0.0836545692532055,NaN,NaN,Inf,177122,-335700.191681457,4670
Random Choice,Task Completion,1,727,0.00112584151862067,0.578051252298502,8.13094486216359,0.657963730227244,0.0836545692532055,0.520922972516053,0.550156734181553,Inf,1945247,-2106253.19168146,1
Response Threshold,Task Demand,2,608,0.026248312694055,0.683775805794621,5.25924772297125,0.148438768748427,0.409104595756008,NaN,NaN,0.921465984635712,189546,-666.361995848769,178
Satisfaction Threshold,Task Demand,2,608,0.026248312694055,0.683775805794621,5.25924772297125,0.148438768748427,0.409104595756008,NaN,NaN,0.000494355573687836,1449233,605508.638004151,66
Composite Threshold,Task Demand,2,608,0.026248312694055,0.683775805794621,5.25924772297125,0.148438768748427,0.409104595756008,NaN,NaN,1.05142754781447,148895,-634.361995848769,76
Random Choice,Task Demand,2,608,0.026248312694055,0.683775805794621,5.25924772297125,0.148438768748427,0.409104595756008,0.00652056381056387,0.125373633026487,0.0270497252615844,37635,10172.6380041512,3381
Response Threshold,Task Completion,2,608,0.026248312694055,0.683775805794621,5.25924772297125,0.148438768748427,0.409104595756008,NaN,NaN,0.52358843566184,415113,164824.638004151,345
Satisfaction Threshold,Task Completion,2,608,0.026248312694055,0.683775805794621,5.25924772297125,0.148438768748427,0.409104595756008,NaN,NaN,0.00286582169091921,1435431,632098.638004151,107
